timestamp,task_name,model,prompt_tokens,candidate_tokens,total_tokens,estimated_cost
2025-12-30T17:15:09.370335,test-task,test-model,100,50,150
2025-12-30T17:15:09.370431,test-task-2,test-model-2,200,100,300
2025-12-30T20:30:28.623864,compiler_metadata_generation,gemini-2.5-flash,448,132,1193
2025-12-30T22:04:22.986597,compiler_metadata_generation,gemini-2.5-flash,447,65,933
2025-12-30T22:13:31.001359,compiler_metadata_generation,gemini-2.5-flash,444,59,1931
2025-12-30T22:13:53.776322,compiler_metadata_generation,gemini-2.5-flash,444,59,795
2025-12-30T22:20:47.226423,compiler_metadata_generation,gemini-2.5-flash,448,130,1109
2025-12-30T22:27:06.810882,compiler_metadata_generation,gemini-2.5-flash,443,48,696
2025-12-30T22:32:01.337291,compiler_metadata_generation,gemini-2.5-flash,445,65,733
2025-12-30T22:32:51.641729,compiler_metadata_generation,gemini-2.5-flash,444,65,759
2025-12-30T23:26:14.504713,gemini-3-flash-preview,edit_image,1336,386,0.000288
2025-12-30T23:38:11.728949,gemini-3-flash-preview,edit_image,1349,0,0.000135
2025-12-30T23:41:33.570729,gemini-3-flash-preview,edit_image,1349,0,0.000135
2025-12-30T23:48:25.667069,gemini-3-pro-image-preview,edit_image,505,1356,0.000593
2025-12-30T23:56:34.886450,gemini-3-pro-image-preview,edit_image,505,1272,0.000559
2025-12-31T00:05:45.723858,gemini-3-pro-image-preview,edit_image,505,1272,0.000559
2025-12-31T00:11:23.307891,gemini-3-pro-image-preview,edit_image,505,1249,0.000550
2025-12-31T00:17:00.849315,compiler_metadata_generation,gemini-2.5-flash,448,132,1130
2025-12-31T00:22:06.910512,compiler_metadata_generation,gemini-2.5-flash,448,134,906,0.000098
